NAME,EXPANDED NAME,COUNTYNAME,Agency,EXPANDED NAME,County
BARTLETT POLICE DEPT,BARTLETT POLICE DEPARTMENT,COOK,BARTLETT PD (MCA),BARTLETT POLICE DEPARTMENT,DUPAGE
BARTLETT POLICE DEPT,BARTLETT POLICE DEPARTMENT,COOK,BARTLETT PD (MCA),BARTLETT POLICE DEPARTMENT,KANE
BARTONVILLE POLICE DEPT,BARTONVILLE POLICE DEPARTMENT,PEORIA,BARTONVILLE PD,BARTONVILLE POLICE DEPARTMENT,PEORIA
BATAVIA POLICE DEPT,BATAVIA POLICE DEPARTMENT,KANE,BATAVIA PD,BATAVIA POLICE DEPARTMENT,KANE
BATH POLICE DEPT,BATH POLICE DEPARTMENT,MASON,,,
BAYLIS POLICE DEPARTMENT,BAYLIS POLICE DEPARTMENT,PIKE,,,
BAYVIEW GARDENS POLICE DEPT,BAYVIEW GARDENS POLICE DEPARTMENT,TAZEWELL,,,
BEARDSTOWN POLICE DEPT,BEARDSTOWN POLICE DEPARTMENT,CASS,BEARDSTOWN PD,BEARDSTOWN POLICE DEPARTMENT,CASS
BECKEMEYER POLICE DEPT,BECKEMEYER POLICE DEPARTMENT,CLINTON,,,
BEDFORD PARK POLICE DEPT,BEDFORD PARK POLICE DEPARTMENT,COOK,,,
BEECHER POLICE DEPT,BEECHER POLICE DEPARTMENT,WILL,BEECHER PD,BEECHER POLICE DEPARTMENT,WILL
BELGIUM POLICE DEPT,BELGIUM POLICE DEPARTMENT,VERMILION,BELGIUM PD,BELGIUM POLICE DEPARTMENT,VERMILION
BELLEVILLE POLICE DEPT,BELLEVILLE POLICE DEPARTMENT,ST CLAIR,BELLEVILLE PD,BELLEVILLE POLICE DEPARTMENT,ST. CLAIR
BELLEVUE PD PEORIA,BELLEVUE POLICE DEPARTMENT PEORIA,PEORIA,,,
BELLFLOWER POLICE DEPARTMENT,BELLFLOWER POLICE DEPARTMENT,MCLEAN,,,
BELLWOOD POLICE DEPT,BELLWOOD POLICE DEPARTMENT,COOK,BELLWOOD PD,BELLWOOD POLICE DEPARTMENT,COOK
BELVIDERE POLICE DEPT,BELVIDERE POLICE DEPARTMENT,BOONE,BELVIDERE PD,BELVIDERE POLICE DEPARTMENT,BOONE
BEMENT POLICE DEPT,BEMENT POLICE DEPARTMENT,PIATT,,,
BENEDICTINE UNIVERSITY,BENEDICTINE UNIVERSITY,DU PAGE,BENEDICTINE UNIVERSITY PD,BENEDICTINE UNIVERSITY POLICE DEPARTMENT,DUPAGE
BENLD POLICE DEPT,BENLD POLICE DEPARTMENT,MACOUPIN,BENLD PD,BENLD POLICE DEPARTMENT,MACOUPIN
BENSENVILLE POLICE DEPT,BENSENVILLE POLICE DEPARTMENT,DU PAGE,BENSENVILLE PD,BENSENVILLE POLICE DEPARTMENT,DUPAGE
BENSON PD,BENSON POLICE DEPARTMENT,WOODFORD,,,
BENTON POLICE DEPT,BENTON POLICE DEPARTMENT,FRANKLIN,BENTON PD,BENTON POLICE DEPARTMENT,FRANKLIN
BERKELEY POLICE DEPT,BERKELEY POLICE DEPARTMENT,COOK,BERKELEY PD,BERKELEY POLICE DEPARTMENT,COOK
BERWYN PLAYGROUND AND RECREATION COMM PD BERWYN,BERWYN PLAYGROUND AND RECREATION COMM POLICE DEPARTMENT BERWYN,COOK,,,
BERWYN POLICE DEPT,BERWYN POLICE DEPARTMENT,COOK,BERWYN PD,BERWYN POLICE DEPARTMENT,COOK
BETHALTO POLICE DEPT,BETHALTO POLICE DEPARTMENT,MADISON,BETHALTO PD,BETHALTO POLICE DEPARTMENT,MADISON
BETHANY POLICE DEPT,BETHANY POLICE DEPARTMENT,MOULTRIE,,,
BIGGSVILLE PD,BIGGSVILLE POLICE DEPARTMENT,HENDERSON,,,
BINGHAM PD,BINGHAM POLICE DEPARTMENT,FAYETTE,,,
BLACK HAWK COLLEGE DEPT OF PUBLIC SAFETY,BLACK HAWK COLLEGE DEPARTMENT OF PUBLIC SAFETY,HENRY,BLACK HAWK COLLEGE AT KEWANEE PD,BLACK HAWK COLLEGE AT KEWANEE POLICE DEPARTMENT,HENRY
BLACK HAWK COLLEGE POLICE DEPT,BLACK HAWK COLLEGE POLICE DEPARTMENT,ROCK ISLAND,BLACK HAWK COLLEGE AT MOLINE PD,BLACK HAWK COLLEGE AT MOLINE POLICE DEPARTMENT,ROCK ISLAND
BLANDINSVILLE PD,BLANDINSVILLE POLICE DEPARTMENT,MCDONOUGH,BLANDINSVILLE PD,BLANDINSVILLE POLICE DEPARTMENT,MCDONOUGH
BLOOMINGDALE POLICE DEPT,BLOOMINGDALE POLICE DEPARTMENT,DU PAGE,BLOOMINGDALE PD,BLOOMINGDALE POLICE DEPARTMENT,DUPAGE
BLOOMINGTON LAKE & PARK POLICE,BLOOMINGTON LAKE & PARK POLICE,MCLEAN,,,
BLOOMINGTON POLICE DEPT,BLOOMINGTON POLICE DEPARTMENT,MCLEAN,BLOOMINGTON PD,BLOOMINGTON POLICE DEPARTMENT,MCLEAN
BLUE ISLAND POLICE DEPT,BLUE ISLAND POLICE DEPARTMENT,COOK,BLUE ISLAND PD,BLUE ISLAND POLICE DEPARTMENT,COOK
BLUE MOUND POLICE DEPARTMENT,BLUE MOUND POLICE DEPARTMENT,MACON,BLUE MOUND PD,BLUE MOUND POLICE DEPARTMENT,MACON
BLUFFS POLICE DEPARTMENT,BLUFFS POLICE DEPARTMENT,SCOTT,BLUFFS PD,BLUFFS POLICE DEPARTMENT,SCOTT
BOLINGBROOK POLICE DEPT,BOLINGBROOK POLICE DEPARTMENT,WILL,BOLINGBROOK PD (MCA),BOLINGBROOK POLICE DEPARTMENT,DUPAGE
BOLINGBROOK POLICE DEPT,BOLINGBROOK POLICE DEPARTMENT,WILL,BOLINGBROOK PD (MCA),BOLINGBROOK POLICE DEPARTMENT,WILL
BOND COUNTY SHERIFF'S OFFICE,BOND COUNTY SHERIFF'S OFFICE,BOND,BOND CO SO,BOND COUNTY SHERIFFS OFFICE,BOND
BONE GAP PD,BONE GAP POLICE DEPARTMENT,EDWARDS,,,
BONFIELD PD,BONFIELD POLICE DEPARTMENT,KANKAKEE,,,
BONNIE POLICE DEPARTMENT,BONNIE POLICE DEPARTMENT,JEFFERSON,,,
BOONE COUNTY SHERIFF'S OFFICE,BOONE COUNTY SHERIFF'S OFFICE,BOONE,BOONE CO SO,BOONE COUNTY SHERIFFS OFFICE,BOONE
BOURBONNAIS POLICE DEPT,BOURBONNAIS POLICE DEPARTMENT,KANKAKEE,BOURBONNAIS PD,BOURBONNAIS POLICE DEPARTMENT,KANKAKEE
BRACEVILLE PD,BRACEVILLE POLICE DEPARTMENT,GRUNDY,,,
BRADFORD POLICE DEPT,BRADFORD POLICE DEPARTMENT,STARK,,,
BRADLEY POLICE DEPT,BRADLEY POLICE DEPARTMENT,KANKAKEE,BRADLEY PD,BRADLEY POLICE DEPARTMENT,KANKAKEE
BRAIDWOOD POLICE DEPT,BRAIDWOOD POLICE DEPARTMENT,WILL,BRAIDWOOD PD,BRAIDWOOD POLICE DEPARTMENT,WILL
BREESE POLICE DEPT,BREESE POLICE DEPARTMENT,CLINTON,BREESE PD,BREESE POLICE DEPARTMENT,CLINTON
BRIDGEPORT POLICE DEPT,BRIDGEPORT POLICE DEPARTMENT,LAWRENCE,,,
BRIDGEVIEW POLICE DEPT,BRIDGEVIEW POLICE DEPARTMENT,COOK,BRIDGEVIEW PD,BRIDGEVIEW POLICE DEPARTMENT,COOK
BRIGHTON POLICE DEPT,BRIGHTON POLICE DEPARTMENT,MACOUPIN,BRIGHTON PD (MCA),BRIGHTON POLICE DEPARTMENT,JERSEY
BRIGHTON POLICE DEPT,BRIGHTON POLICE DEPARTMENT,MACOUPIN,BRIGHTON PD (MCA),BRIGHTON POLICE DEPARTMENT,MACOUPIN
BRIMFIELD PD,BRIMFIELD POLICE DEPARTMENT,PEORIA,,,
BROADVIEW POLICE DEPT,BROADVIEW POLICE DEPARTMENT,COOK,BROADVIEW PD,BROADVIEW POLICE DEPARTMENT,COOK
BROCTON POLICE DEPARTMENT,BROCTON POLICE DEPARTMENT,EDGAR,,,
BROOKFIELD POLICE DEPT,BROOKFIELD POLICE DEPARTMENT,COOK,BROOKFIELD PD,BROOKFIELD POLICE DEPARTMENT,COOK
BROOKFIELD ZOO POLICE DEPT,BROOKFIELD ZOO POLICE DEPARTMENT,COOK,,,
BROOKLYN POLICE DEPT,BROOKLYN POLICE DEPARTMENT,ST CLAIR,BROOKLYN PD,BROOKLYN POLICE DEPARTMENT,ST. CLAIR
BROOKPORT POLICE DEPT,BROOKPORT POLICE DEPARTMENT,MASSAC,BROOKPORT PD,BROOKPORT POLICE DEPARTMENT,MASSAC
BROWN COUNTY SHERIFF'S OFFICE,BROWN COUNTY SHERIFF'S OFFICE,BROWN,BROWN CO SO,BROWN COUNTY SHERIFFS OFFICE,BROWN
BROWNS PD,BROWNS POLICE DEPARTMENT,EDWARDS,,,
BROWNSTOWN POLICE DEPT,BROWNSTOWN POLICE DEPARTMENT,FAYETTE,,,
BRUSSELS PD,BRUSSELS POLICE DEPARTMENT,CALHOUN,,,
BRYANT PD LONDON MILLS,BRYANT POLICE DEPARTMENT LONDON MILLS,FULTON,,,
BUCKINGHAM POLICE DEPARTMENT,BUCKINGHAM POLICE DEPARTMENT,KANKAKEE,,,
BUCKLEY POLICE DEPT,BUCKLEY POLICE DEPARTMENT,IROQUOIS,,,
BUCKNER POLICE DEPT,BUCKNER POLICE DEPARTMENT,FRANKLIN,,,
BUDA POLICE DEPT,BUDA POLICE DEPARTMENT,BUREAU,,,
BUFFALO GROVE POLICE DEPT,BUFFALO GROVE POLICE DEPARTMENT,COOK,BUFFALO GROVE PD (MCA),BUFFALO GROVE POLICE DEPARTMENT,COOK
BUFFALO GROVE POLICE DEPT,BUFFALO GROVE POLICE DEPARTMENT,COOK,BUFFALO GROVE PD (MCA),BUFFALO GROVE POLICE DEPARTMENT,LAKE
BUFFALO-MECHANICSBURG POLICE DEPT,BUFFALO-MECHANICSBURG POLICE DEPARTMENT,SANGAMON,,,
BULL VALLEY POLICE DEPT,BULL VALLEY POLICE DEPARTMENT,MCHENRY,BULL VALLEY PD,BULL VALLEY POLICE DEPARTMENT,MCHENRY
BUNKER HILL POLICE DEPT,BUNKER HILL POLICE DEPARTMENT,MACOUPIN,BUNKER HILL PD,BUNKER HILL POLICE DEPARTMENT,MACOUPIN
BURBANK POLICE DEPT,BURBANK POLICE DEPARTMENT,COOK,BURBANK PD,BURBANK POLICE DEPARTMENT,COOK
BUREAU COUNTY SHERIFF'S OFFICE,BUREAU COUNTY SHERIFF'S OFFICE,BUREAU,BUREAU CO SO,BUREAU COUNTY SHERIFFS OFFICE,BUREAU
BURLINGTON NTHRN S FE RR,BURLINGTON NTHRN S FE RR,COOK,,,
BURLINGTON PD,BURLINGTON POLICE DEPARTMENT,KANE,,,
BURNHAM POLICE DEPARTMENT,BURNHAM POLICE DEPARTMENT,COOK,BURNHAM PD,BURNHAM POLICE DEPARTMENT,COOK
BURR RIDGE POLICE DEPT,BURR RIDGE POLICE DEPARTMENT,DU PAGE,BURR RIDGE PD (MCA),BURR RIDGE POLICE DEPARTMENT,COOK
BURR RIDGE POLICE DEPT,BURR RIDGE POLICE DEPARTMENT,DU PAGE,BURR RIDGE PD (MCA),BURR RIDGE POLICE DEPARTMENT,DUPAGE
BUSHNELL POLICE DEPT,BUSHNELL POLICE DEPARTMENT,MCDONOUGH,,,
BUTLER UNIVERSITY,BUTLER UNIVERSITY,LAKE COUNTY,,,
BYRON POLICE DEPT,BYRON POLICE DEPARTMENT,OGLE,BYRON PD,BYRON POLICE DEPARTMENT,OGLE
CAHOKIA POLICE DEPT,CAHOKIA POLICE DEPARTMENT,ST CLAIR,CAHOKIA PD,CAHOKIA POLICE DEPARTMENT,ST. CLAIR
CAIRO POLICE DEPT,CAIRO POLICE DEPARTMENT,ALEXANDER,CAIRO PD,CAIRO POLICE DEPARTMENT,ALEXANDER
CALHOUN COUNTY SHERIFF'S OFFICE,CALHOUN COUNTY SHERIFF'S OFFICE,CALHOUN,,,
CALUMET CITY POLICE DEPT,CALUMET CITY POLICE DEPARTMENT,COOK,CALUMET CITY PD,CALUMET CITY POLICE DEPARTMENT,COOK
CALUMET PARK POLICE DEPT,CALUMET PARK POLICE DEPARTMENT,COOK,,,
CAMBRIA POLICE DEPT,CAMBRIA POLICE DEPARTMENT,WILLIAMSON,CAMBRIA PD,CAMBRIA POLICE DEPARTMENT,WILLIAMSON
CAMBRIDGE PD,CAMBRIDGE POLICE DEPARTMENT,HENRY,CAMBRIDGE PD,CAMBRIDGE POLICE DEPARTMENT,HENRY
CAMP POINT POLICE DEPT,CAMP POINT POLICE DEPARTMENT,ADAMS,CAMP POINT PD,CAMP POINT POLICE DEPARTMENT,ADAMS
CAMPTON HILLS POLICE DEPARTMENT,CAMPTON HILLS POLICE DEPARTMENT,KANE,CAMPTON HILLS PD,CAMPTON HILLS POLICE DEPARTMENT,KANE
CAMPUS PD,CAMPUS POLICE DEPARTMENT,LIVINGSTON,,,
CANADIAN NATIONAL RAILWY,CANADIAN NATIONAL RAILWY,COOK,CANADIAN NATIONAL RAILROAD PD,CANADIAN NATIONAL RAILROAD POLICE DEPARTMENT,COOK
CANADIAN PACIFIC RAILWAY,CANADIAN PACIFIC RAILWAY,COOK COUNTY,,,
CANTON PARK DISTRICT POLICE DEPT,CANTON PARK DISTRICT POLICE DEPARTMENT,FULTON,CANTON PARK DISTRICT PD,CANTON PARK DISTRICT POLICE DEPARTMENT,FULTON
CANTON POLICE DEPT,CANTON POLICE DEPARTMENT,FULTON,CANTON PD,CANTON POLICE DEPARTMENT,FULTON
CAPRON PD,CAPRON POLICE DEPARTMENT,BOONE,,,
CARBON CLIFF PD,CARBON CLIFF POLICE DEPARTMENT,ROCK ISLAND,,,
CARBONDALE POLICE DEPT,CARBONDALE POLICE DEPARTMENT,JACKSON,CARBONDALE PD,CARBONDALE POLICE DEPARTMENT,JACKSON
CARLINVILLE POLICE DEPT,CARLINVILLE POLICE DEPARTMENT,MACOUPIN,CARLINVILLE PD,CARLINVILLE POLICE DEPARTMENT,MACOUPIN
